t_index	term	df
3247	doggedli	1
3248	doha	1
3249	dokic	9
3250	doll	1
3251	dollar	37
3252	dolphin	1
3253	domain	1
3254	dome	2
3255	domest	16
3256	domin	38
3257	dominican	1
3258	dominik	16
3259	dominikov	4
3260	dominion	2
3261	dominiqu	1
3262	domino	2
3263	dominolik	1
3264	donald	35
3265	donaldson	2
3266	donat	19
3267	dong	1
3268	donkey	1
3269	donna	2
3270	donor	11
3271	donoth	1
3272	dont	207
3273	dooda	1
3274	doom	9
3275	door	47
3276	doortodoor	1
3277	doorway	2
3278	dopher	1
3279	dora	1
3280	dorcol	1
3281	doreen	1
3282	dori	1
3283	dormitori	1
3284	dorothi	3
3285	dose	1
3286	doss	1
3287	dostoyevski	1
3288	dot	3
3289	doubl	35
3290	doublecheck	1
3291	doubled	1
3292	doubledigit	1
3293	doublefault	11
3294	doubt	50
3295	doudou	1
3296	doug	1
3297	dougal	9
3298	dougherti	2
3299	dougla	1
3300	dour	2
3301	dove	1
3302	dover	24
3303	downbeat	1
3304	downcorrect	1
3305	downfal	19
3306	downplay	3
3307	downpour	1
3308	downstair	2
3309	downthemiddl	1
3310	downtown	29
3311	dows	1
3312	doyal	1
3313	doze	1
3314	dozen	112
3315	dozo	1
3316	dr	8
3317	draconian	2
3318	draft	16
3319	drag	15
3320	dragan	6
3321	dragana	1
3322	dragesa	1
3323	dragisha	1
3324	dragoljub	8
3325	dragomir	2
3326	dragon	2
3327	drain	8
3328	drama	13
3329	draman	15
3330	dramat	33
3331	drape	12
3332	draper	2
3333	draskov	4
3334	drastic	1
3335	draw	48
3336	drawn	17
3337	dread	1
3338	dream	20
3339	dress	24
3340	dresser	1
3341	drew	23
3342	drexel	1
3343	dri	16
3344	driedup	1
3345	drift	3
3346	drill	8
3347	drink	13
3348	drip	1
3349	drissa	3
3350	drive	61
3351	driven	16
3352	driver	24
3353	driveway	1
3354	drizzl	1
3355	drizzli	1
3356	drop	51
3357	dropin	1
3358	drought	2
3359	drove	22
3360	drown	6
3361	drub	1
3362	drudg	1
3363	drug	41
3364	drugli	1
3365	drugmak	1
3366	drum	1
3367	drumbeat	2
3368	drummer	2
3369	drunk	3
3370	drunken	1
3371	drydock	1
3372	dsd	2
3373	dsedalia	1
3374	dual	1
3375	duan	1
3376	dub	3
3377	dubai	5
3378	dubiou	1
3379	duboc	1
3380	duc	7
3381	duck	2
3382	duct	6
3383	dudley	12
3384	due	38
3385	duel	3
3386	duffel	2
3387	duffi	4
3388	duffl	1
3389	dug	21
3390	duglon	1
3391	duguid	2
3392	dugup	1
3393	duke	1
3394	dull	1
3395	duluth	1
3396	duma	1
3397	dump	12
3398	duo	1
3399	duopoli	1
3400	dupe	1
3401	duplic	1
3402	durango	2
3403	dure	281
3404	duress	1
3405	dusan	1
3406	dusk	2
3407	dust	13
3408	dusti	11
3409	dutch	3
3410	duti	27
3411	duval	1
3412	dwarf	1
3413	dwell	2
3414	dwi	1
3415	dwight	2
3416	dwindl	11
3417	dwva	3
3418	dwyer	1
3419	dye	2
3420	dygalo	2
3421	dynam	4
3422	dynamit	4
3423	dynamitetip	4
3424	dynasti	1
3425	dysfunct	1
3426	eager	18
3427	eagl	1
3428	eagleton	1
3429	eaker	1
3430	eantwar	1
3431	eardrum	2
3432	earli	180
3433	earlier	188
3434	earliest	7
3435	earlyseason	1
3436	earmark	8
3437	earn	22
3438	earnest	5
3439	earshot	1
3440	earth	29
3441	earthmov	3
3442	earthquak	110
3443	earthquakedriven	1
3444	earthquakeravag	1
3445	earthquakestricken	1
3446	earthquaketrigg	2
3447	easi	34
3448	easier	12
3449	easiest	2
3450	easili	25
3451	easley	1
3452	eastern	40
3453	eaten	2
3454	eavesdrop	1
3455	ebb	5
3456	ebri	1
3457	eccel	1
3458	echeverria	1
3459	echo	28
3460	eclips	2
3461	ecolog	1
3462	ecologist	1
3463	ecommerc	1
3464	econolin	1
3465	econom	83
3466	economi	73
3467	economist	12
3468	ecstat	1
3469	ecuador	10
3470	ecuadorian	1
3471	edberg	1
3472	edg	46
3473	edgar	1
3474	edict	1
3475	edific	1
3476	edikipa	1
3477	edinburgh	1
3478	edit	16
3479	editor	16
3480	editori	16
3481	editorinchief	1
3482	edmond	32
3483	edmund	25
3484	edmundo	1
3485	edt	13
3486	eduard	1
3487	eduardo	1
3488	educ	37
3489	edward	6
3490	edwardo	1
3491	edwin	2
3492	eeri	2
3493	eerili	1
3494	effect	76
3495	effici	4
3496	effort	185
3497	effortlessli	1
3498	egg	5
3499	egoavil	3
3500	egotist	2
3501	egregi	1
3502	egypt	26
3503	egyptian	31
3504	ehud	8
3505	eight	104
3506	eightday	2
3507	eighteenmonthold	1
3508	eighth	15
3509	eighthcenturi	1
3510	eighthseed	6
3511	eighti	2
3512	eightman	1
3513	eightmemb	1
3514	eightmonth	1
3515	eightvolum	1
3516	eightyear	3
3517	eightyseven	2
3518	eightyyearold	1
3519	eisenhow	3
3520	eject	2
3521	ekra	1
3522	elabor	24
3523	elana	1
3524	elast	1
3525	elat	1
3526	elattar	1
3527	elayn	1
3528	elbaum	1
3529	elbow	7
3530	elder	6
3531	elderli	5
3532	eldest	3
3533	elect	298
3534	electionday	1
3535	electionnight	1
3536	elector	80
3537	electr	42
3538	electrician	3
3539	electricpow	1
3540	electrifi	1
3541	electrocut	1
3542	electron	11
3543	eleg	5
3544	element	21
3545	elementari	2
3546	elena	6
3547	elev	4
3548	eleven	12
3549	elia	4
3550	eliac	1
3551	elier	1
3552	elig	10
3553	elimin	32
3554	elit	7
3555	elizabeth	7
3556	ellen	5
3557	elli	2
3558	elliot	2
3559	ellips	2
3560	ellipt	1
3561	ellwood	1
3562	elmisri	1
3563	elnhandcount	1
3564	elnleg	1
3565	elnmilitari	1
3566	elnrdp	1
3567	elong	1
3568	els	34
3569	elsewher	55
3570	elsheikh	3
3571	elsirri	1
3572	elton	1
3573	elud	12
3574	elus	4
3575	email	7
3576	eman	1
3577	emanuel	1
3578	embargo	31
3579	embark	4
3580	embarrass	10
3581	embassi	116
3582	embattl	9
3583	embed	1
3584	embellish	1
3585	emblemat	1
3586	embrac	20
3587	embroil	1
3588	emerg	109
3589	emerson	2
3590	emigr	7
3591	emil	5
3592	emili	2
3593	emilio	2
3594	emir	7
3595	emiss	1
3596	emissari	1
3597	emit	1
3598	emkne	1
3599	emmanuel	3
3600	emot	47
3601	empathet	1
3602	empathi	1
3603	emperor	4
3604	emphas	9
3605	emphasi	7
3606	emphat	5
3607	empir	6
3608	employ	19
3609	employe	50
3610	empow	2
3611	empti	14
3612	emul	3
3613	enabl	10
3614	enact	4
3615	encircl	1
3616	enclos	1
3617	encor	1
3618	encount	15
3619	encourag	33
3620	endang	5
3621	enddat	2
3622	endear	1
3623	endeavor	3
3624	endem	1
3625	endoftheyear	2
3626	endors	12
3627	endur	18
3628	enemi	46
3629	energ	3
3630	energet	1
3631	energi	29
3632	enforc	44
3633	engag	25
3634	engend	2
3635	engin	50
3636	engineerman	1
3637	engineman	1
3638	engineroom	2
3639	england	2
3640	english	13
3641	englishderiv	1
3642	englishlanguag	3
3643	englishspeak	4
3644	engrav	1
3645	engulf	7
3646	enhanc	5
3647	enigmat	1
3648	enjoin	1
3649	enjoy	19
3650	enlarg	4
3651	enlist	12
3652	enmesh	1
3653	enmiti	2
3654	enorm	27
3655	enqvist	1
3656	enrag	2
3657	enrich	1
3658	ensembl	2
3659	ensign	4
3660	ensnar	2
3661	ensu	9
3662	ensul	1
3663	ensur	34
3664	entail	1
3665	entangl	1
3666	enter	64
3667	enterpris	4
3668	entertain	5
3669	enthusiasm	8
3670	enthusiast	7
3671	entic	4
3672	entir	44
3673	entireti	1
3674	entiti	2
3675	entitl	6
3676	entomb	4
3677	entourag	3
3678	entranc	7
3679	entrench	2
3680	entrepreneur	2
3681	entrepreneuri	2
3682	entrepreneurship	5
3683	entri	3
3684	entrust	1
3685	envelop	1
3686	envi	1
3687	environ	8
3688	environment	11
3689	environmentalist	3
3690	envis	2
3691	envisag	1
3692	envoy	7
3693	epa	1
3694	epicent	31
3695	epicmra	2
3696	epidem	2
3697	epiphani	1
3698	episcop	3
3699	episod	2
3700	equal	20
3701	equanim	1
3702	equip	88
3703	equival	12
3704	eras	11
3705	erect	7
3706	erena	1
3707	eric	6
3708	erinson	1
3709	erlang	1
3710	ernesto	4
3711	erni	4
3712	erod	8
3713	eros	4
3714	errand	1
3715	errat	8
3716	erron	3
3717	error	47
3718	errorpron	1
3719	errrr	1
3720	erupt	18
3721	esam	1
3722	escal	9
3723	escap	85
3724	escape	28
3725	escort	10
3726	escud	3
3727	especi	74
3728	espehello	1
3729	espi	6
3730	espionag	34
3731	espitia	1
3732	espo	1
3733	espous	1
3734	essay	3
3735	essenc	3
3736	essenti	16
3737	establish	49
3738	estat	18
3739	estim	63
3740	estrada	1
3741	estrang	1
3742	etar	1
3743	etcetera	1
3744	ethan	2
3745	ethic	7
3746	ethiopia	1
3747	ethnic	34
3748	ethnocentr	2
3749	etoge	1
3750	eu	8
3751	eugen	4
3752	eulog	3
3753	euphor	1
3754	euphoria	6
3755	europ	50
3756	european	52
3757	evacu	24
3758	evad	7
3759	evalu	11
3760	evan	5
3761	evanel	1
3762	evapor	3
3763	evas	14
3764	evelyn	2
3765	evenh	1
3766	evenhand	4
3767	evenli	5
3768	event	85
3769	eventu	45
3770	everett	1
3771	everi	92
3772	evershrink	2
3773	eversinc	1
3774	evert	11
3775	everworsen	1
3776	everybodi	20
3777	everyday	10
3778	evi	4
3779	evict	2
3780	evid	130
3781	evidenc	1
3782	evidencegath	1
3783	evil	2
3784	evoc	1
3785	evok	1
3786	evolut	3
3787	exacerb	1
3788	exact	8
3789	exactli	37
3790	exagger	4
3791	exalt	1
3792	exam	4
3793	examin	47
3794	exampl	40
3795	exasper	2
3796	excabinet	1
3797	excav	12
3798	exceed	5
3799	exceedingli	1
3800	excel	5
3801	except	27
3802	excerpt	5
3803	excess	2
3804	exchang	23
3805	excia	2
3806	excit	9
3807	exclaim	1
3808	exclam	2
3809	exclud	20
3810	exclus	20
3811	exclusion	2
3812	exclusionari	1
3813	excruci	1
3814	excus	7
3815	execut	71
3816	exemplari	1
3817	exemplifi	1
3818	exempt	2
3819	exercis	22
3820	exhaust	26
3821	exhibit	3
3822	exhilar	1
3823	exhort	2
3824	exhous	1
3825	exhusband	3
3826	exil	41
3827	exintellig	7
3828	exintern	1
3829	exist	20
3830	exit	25
3831	exlead	1
3832	exnew	3
3833	exocet	1
3834	exodu	3
3835	exoner	1
3836	expand	18
3837	expans	5
3838	expatri	3
3839	expect	187
3840	expectantli	1
3841	expedi	2
3842	expedit	4
3843	expel	5
3844	expenditur	2
3845	expens	21
3846	experi	46
3847	experienc	8
3848	expert	118
3849	expertis	8
3850	expir	9
3851	explain	35
3852	explan	13
3853	explicit	4
3854	explicitli	6
3855	explod	43
3856	exploit	7
3857	explor	13
3858	explos	222
3859	explosivesladen	3
3860	explosivespack	1
3861	export	19
3862	exportimport	1
3863	expos	8
3864	expossess	2
3865	expresid	7
3866	express	74
3867	expressnew	1
3868	expuls	1
3869	exquisit	1
3870	exsaudi	1
3871	exspi	12
3872	extend	38
3873	extens	34
3874	extent	27
3875	exterior	3
3876	extern	14
3877	extinct	2
3878	extinguish	2
3879	extol	2
3880	extort	4
3881	extra	20
3882	extract	6
3883	extradit	33
3884	extraleg	1
3885	extraordinari	12
3886	extraordinarili	2
3887	extravag	2
3888	extrem	21
3889	extremist	17
3890	extric	2
3891	exuber	1
3892	exud	1
3893	exult	1
3894	exwif	9
3895	eyadema	1
3896	eyal	1
3897	eye	61
3898	eyebal	1
3899	eyelid	1
3900	eyesburn	1
3901	eyewit	10
3902	eyewitnesss	1
3903	faa	1
3904	fabiani	1
3905	fabric	5
3906	facad	4
3907	faceoff	2
3908	facetofac	1
3909	facial	1
3910	facil	45
3911	facilit	4
3912	factbook	4
3913	factfind	1
3914	faction	13
3915	facto	2
3916	factor	23
3917	factori	20
3918	factual	1
3919	fade	23
3920	fadeyev	1
3921	fagan	1
3922	fahrenheit	1
3923	fail	115
3924	failur	16
3925	faint	6
3926	faintli	1
3927	fair	45
3928	fairfax	1
3929	fairleigh	1
3930	fairli	16
3931	fairskin	1
3932	faisal	1
3933	faith	8
3934	faithbas	1
3935	faithless	1
3936	fake	10
3937	fall	68
3938	fallen	27
3939	fallout	1
3940	faln	1
3941	fals	30
3942	falsif	1
3943	falsifi	5
3944	falter	4
3945	fame	6
3946	famili	213
3947	familiar	17
3948	famou	4
3949	fan	10
3950	fanci	1
3951	fanfar	2
3952	faraway	3
3953	farc	2
3954	fare	1
3955	farera	1
3956	farewel	16
3957	farflung	3
3958	farid	1
3959	farina	3
3960	farinella	1
3961	farm	9
3962	farmer	8
3963	farmington	1
3964	farrier	1
3965	farther	2
3966	farthest	2
3967	fascin	5
3968	fascist	3
3969	fashion	7
3970	faso	8
3971	fast	22
3972	faster	11
3973	fastest	2
3974	fastfad	1
3975	fastfood	1
3976	fat	2
3977	fatal	8
3978	fatalist	1
3979	fate	32
3980	father	76
3981	fatherinlaw	1
3982	fatherless	1
3983	fatigu	7
3984	fatwa	1
3985	fault	20
3986	faulti	1
3987	favor	49
3988	favorit	14
3989	faw	1
3990	fax	14
3991	fay	1
3992	fayettevil	1
3993	fbi	117
3994	fbile	1
3995	fbiyemeni	1
3996	fd	1
3997	fda	1
3998	fear	108
3999	fearless	4
4000	fearmong	1
4001	feasibl	4
4002	feast	1
4003	feat	8
4004	featur	19
4005	feb	2
4006	februari	3
4007	fed	15
4008	feder	138
4009	federalist	1
4010	federico	11
4011	fee	5
4012	feed	14
4013	feel	118
4014	feet	61
4015	fehn	2
4016	feign	1
4017	feingold	1
4018	feinstein	3
4019	felix	9
4020	fell	66
4021	fellow	38
4022	fellowstud	1
4023	felon	4
4024	feloni	13
4025	femal	13
4026	feminist	1
4027	fenc	6
4028	fend	2
4029	ferdinand	1
4030	ferment	1
4031	fernand	5
4032	fernandez	1
4033	fernando	5
4034	feroci	1
4035	ferraro	1
4036	ferreira	3
4037	ferrer	1
4038	ferrero	12
4039	ferret	2
4040	ferri	4
4041	fertil	3
4042	fervor	5
4043	fest	1
4044	festiv	8
4045	fetch	1
4046	fever	6
4047	feverish	1
4048	fewer	17
4049	fewest	1
4050	fhimah	1
4051	fiance	1
4052	fiberglass	9
4053	fiction	2
4054	fictiti	3
4055	fidel	5
4056	fidelia	2
4057	fidget	2
4058	fie	1
4059	fiefdom	2
4060	field	49
4061	fierc	16
4062	fieri	3
4063	fierrera	1
4064	fife	2
4065	fifteen	3
4066	fifteenth	1
4067	fifth	34
4068	fifthseed	2
4069	fifthset	1
4070	fifti	1
4071	fiftythre	1
4072	fight	76
4073	fighter	14
4074	figur	93
4075	fijimori	1
4076	file	40
4077	filipov	1
4078	fill	60
4079	fillmor	1
4080	film	8
4081	filter	1
4082	filth	1
4083	final	198
4084	finalhour	1
4085	finalist	5
4086	financ	40
4087	financi	63
4088	fine	43
4089	finest	5
4090	finger	10
4091	fingerpoint	3
4092	fingerprint	5
4093	fingertip	1
4094	finish	57
4095	finit	2
4096	fink	3
4097	finland	2
4098	finsburi	1
4099	fire	124
4100	firearm	12
4101	firebal	1
4102	firebomb	1
4103	firebreath	1
4104	firecrack	2
4105	firefight	6
4106	fireman	4
4107	firepow	2
4108	fireston	1
4109	firestorm	1
4110	firework	5
4111	firm	32
4112	firmer	1
4113	firmli	11
4114	firstclass	1
4115	firstdegre	1
4116	firsthand	1
4117	firstli	1
4118	firstround	16
4119	firstset	4
4120	firstterm	2
4121	firsttim	2
4122	fiscal	3
4123	fischer	2
4124	fish	10
4125	fisheri	1
4126	fisherman	2
4127	fishermen	5
4128	fissur	1
4129	fist	7
4130	fit	27
4131	fitcher	1
4132	fitter	1
4133	fittingli	1
4134	fitzgerald	7
4135	five	182
4136	fivecandid	10
4137	fiveday	4
4138	fiveinch	1
4139	fivememb	3
4140	fiveminut	2
4141	fiveset	6
4142	fivesett	2
4143	fivestori	3
4144	fiveterm	4
4145	fivetim	1
4146	fivevot	1
4147	fiveweek	3
4148	fiveyear	24
4149	fiveyearold	1
4150	fix	15
4151	fizzl	1
4152	fla	14
4153	flabas	2
4154	flabbergast	1
4155	flag	36
4156	flagdrap	6
4157	flagrant	2
4158	flagwav	4
4159	flair	2
4160	flak	1
4161	flake	3
4162	flaku	3
4163	flame	9
4164	flank	6
4165	flare	2
4166	flareup	1
4167	flash	3
4168	flashbulb	1
4169	flashlight	1
4170	flashpoint	3
4171	flat	11
4172	flatb	1
4173	flatfoot	1
4174	flatli	1
4175	flatout	1
4176	flatten	23
4177	flatter	1
4178	flatwar	1
4179	flaw	15
4180	flawless	2
4181	flawlessli	1
4182	flea	1
4183	fled	72
4184	fledgl	2
4185	flee	36
4186	fleet	71
4187	fleischer	1
4188	flesh	2
4189	fletchal	1
4190	fletcher	4
4191	flew	33
4192	flex	1
4193	flexibl	2
4194	flfing	1
4195	fli	49
4196	flier	1
4197	flight	49
4198	flimsi	1
4199	fling	1
4200	flint	1
4201	flintoff	2
4202	flip	3
4203	flipflop	4
4204	float	15
4205	floater	1
4206	flood	36
4207	floodcontrol	2
4208	floodlight	1
4209	floodlit	2
4210	floor	37
4211	flore	15
4212	floresc	1
4213	florez	2
4214	florida	42
4215	florist	1
4216	floss	1
4217	flotilla	12
4218	flour	2
4219	flourish	3
4220	flow	10
4221	flower	8
4222	flown	44
4223	floyd	2
4224	fluctuat	1
4225	fluid	2
4226	flung	5
4227	fluorid	1
4228	flurri	4
4229	flush	1
4230	fluster	2
4231	fluti	1
4232	flux	1
4233	flyaround	1
4234	focu	44
4235	focus	45
4236	focusgroup	1
4237	focuss	2
4238	foe	16
4239	fofana	2
4240	fog	11
4241	foggi	4
4242	foil	6
4243	fold	3
4244	foley	2
4245	folk	7
4246	folklor	1
4247	follow	216
4248	followup	2
4249	foment	3
4250	fond	2
4251	font	1
4252	food	59
4253	fool	2
4254	foolish	1
4255	foot	79
4256	footag	3
4257	footbal	9
4258	footballs	1
4259	footbyfoot	4
4260	footdeep	2
4261	foothigh	4
4262	foothil	6
4263	foothold	6
4264	footinch	1
4265	footlong	4
4266	footnot	1
4267	footprint	1
4268	footstep	1
4269	footwear	1
4270	footwork	1
4271	forag	4
4272	foray	3
4273	forb	3
4274	forbid	1
4275	forbidden	2
4276	forc	365
4277	forcep	1
4278	forcesix	1
4279	forcibl	2
4280	ford	11
4281	forebod	1
4282	forecast	8
4283	foreclos	1
4284	forefront	2
4285	forehand	15
4286	forehead	2
4287	foreign	191
4288	foremost	3
4289	forens	21
4290	forerunn	2
4291	forese	3
4292	foreseen	1
4293	forest	9
4294	foretast	1
4295	forev	9
4296	foreword	1
4297	forg	4
4298	forgav	1
4299	forgeri	1
4300	forget	12
4301	forgiv	7
4302	forgiven	1
4303	forgot	1
4304	forgotten	5
4305	fork	2
4306	forkid	1
4307	form	95
4308	formal	42
4309	format	9
4310	former	268
4311	formerli	9
4312	formid	2
4313	formul	1
4314	formula	3
4315	fornl	1
4316	forprofit	1
4317	forsak	1
4318	fort	11
4319	forth	4
4320	forti	4
4321	fortifi	2
4322	fortitud	1
4323	fortnight	1
4324	fortress	1
4325	fortun	16
4326	fortyseven	1
4327	forum	15
4328	forward	57
4329	foster	4
4330	fought	45
4331	foulsmel	1
4332	found	234
4333	foundat	8
4334	founder	10
4335	fountain	1
4336	fourblock	1
4337	fourday	4
4338	fourhour	3
4339	fourinch	2
4340	fourminut	1
4341	fourperson	1
4342	fourpoint	1
4343	fourstar	4
4344	fourstori	5
4345	fourterm	2
4346	fourth	53
4347	fourthfloor	1
4348	fourthround	5
4349	fourthseed	1
4350	fourtim	10
4351	fourwheel	1
4352	fourwheeldr	7
4353	fouryear	7
4354	fox	6
4355	foyer	2
4356	fpi	2
4357	fpt	1
4358	fraction	7
4359	fractiou	2
4360	fractur	9
4361	fragil	7
4362	fragment	9
4363	fraim	1
4364	frame	5
4365	framework	2
4366	franc	34
4367	francepress	1
4368	franchis	1
4369	franci	6
4370	franciscan	2
4371	francisco	37
4372	francoi	1
4373	franjo	3
4374	frank	28
4375	frankfurt	9
4376	frankli	8
4377	frantic	20
4378	fraser	1
4379	frasur	1
4380	fraud	68
4381	fraudul	5
4382	fraught	3
4383	fray	4
4384	frazier	2
4385	fred	2
4386	freder	1
4387	fredericqu	1
4388	frederik	1
4389	free	113
4390	freed	22
4391	freedom	40
4392	freedomlov	1
4393	freeforal	1
4394	freeh	25
4395	freelanc	1
4396	freeli	14
4397	freelli	1
4398	freemarket	2
4399	freer	2
4400	freewheel	1
4401	freez	2
4402	freight	2
4403	fremd	5
4404	fremont	2
4405	french	64
4406	frenchbuilt	2
4407	frenchmad	1
4408	frenchman	8
4409	frenchmen	1
4410	frenchspeak	1
4411	frenchtrain	1
4412	frenchwoman	2
4413	frenzi	3
4414	frequent	28
4415	fresh	18
4416	fresher	1
4417	freshman	5
4418	freshmen	1
4419	fresno	1
4420	fri	1
4421	friction	1
4422	friday	216
4423	friend	80
4424	friendli	18
4425	friendship	6
4426	frigat	10
4427	frighten	21
4428	frigid	1
4429	frist	2
4430	frond	1
4431	front	77
4432	frontend	5
4433	frontier	1
4434	frontlin	1
4435	frontman	1
4436	frontpag	2
4437	frontrun	2
4438	frontrunn	1
4439	frown	1
4440	froze	7
4441	frozen	4
4442	fruit	7
4443	fruition	1
4444	fruitless	1
4445	frustrat	40
4446	fs	1
4447	fsb	4
4448	fudg	1
4449	fuel	40
4450	fuerth	1
4451	fugazi	5
4452	fugimori	1
4453	fugit	72
4454	fujimori	62
4455	fulfil	5
4456	fullest	4
4457	fullfledg	1
4458	fulli	37
4459	fullpag	2
4460	fullscal	1
4461	fullthroat	3
4462	fume	1
4463	fun	2
4464	function	14
4465	functionari	2
4466	fund	52
4467	fundament	13
4468	fundamentalist	9
4469	fundrais	20
4470	funer	19
4471	funnel	3
4472	funni	2
4473	furi	5
4474	furiou	12
4475	furious	6
4476	furnish	2
4477	furnitur	6
4478	furor	2
4479	furrow	2
4480	furthermor	3
4481	furthest	1
4482	furtiv	2
4483	fuselag	1
4484	fuss	1
4485	futa	1
4486	futil	4
4487	futur	88
4488	futurist	1
4489	fuzzi	1
4490	gabbi	1
4491	gabe	1
4492	gabon	2
4493	gabriel	1
4494	gadget	1
4495	gadhafi	1
4496	gaell	1
4497	gaff	1
4498	gafney	1
4499	gag	1
4500	gagliardi	2
4501	gagnoa	4
4502	gaig	1
4503	gajar	1
4504	gal	1
4505	galapago	2
4506	gale	6
4507	galiardi	1
4508	gallup	3
4509	gallust	3
4510	galo	8
4511	galvan	2
4512	galvin	1
4513	gamarra	1
4514	gambler	2
4515	game	57
4516	gandhi	7
4517	gandhinagar	1
4518	gang	17
4519	gangster	1
4520	gangsterstyl	1
4521	gantlet	1
4522	gap	11
4523	gape	16
4524	garag	6
4525	garbag	16
4526	garbageremov	1
4527	garbl	4
4528	garcia	23
4529	garden	13
4530	gari	8
4531	garin	1
4532	garland	1
4533	garment	1
4534	garner	5
4535	garri	2
4536	garro	1
4537	garwood	3
4538	gase	1
4539	gash	4
4540	gasolin	2
4541	gasp	1
4542	gaspow	1
4543	gaston	1
4544	gate	17
4545	gatehous	2
4546	gateway	2
4547	gather	88
4548	gatl	1
4549	gatorad	1
4550	gaudi	1
4551	gaug	4
4552	gauna	2
4553	gaur	1
4554	gautam	1
4555	gavel	1
4556	gavlak	1
4557	gawker	1
4558	gay	10
4559	gaye	3
4560	gaza	16
4561	gaze	4
4562	gazett	1
4563	gazilliondollar	1
4564	gbagbo	38
4565	gbessi	1
4566	gear	10
4567	gedda	1
4568	gedrif	1
4569	gee	1
4570	geeman	1
4571	gehman	10
4572	gehmancrouch	1
4573	gejdenson	4
4574	gelu	1
4575	gendarm	2
4576	generalsecretari	1
4577	generos	2
4578	genex	1
4579	genocid	4
4580	genom	1
4581	genrikh	1
4582	gentl	1
4583	gentleman	1
4584	gentlemen	1
4585	gentli	6
4586	genuin	5
4587	geo	1
4588	geoff	1
4589	geofferi	1
4590	geoffrey	3
4591	geographi	1
4592	geolog	11
4593	geologist	2
4594	geopolit	1
4595	georg	117
4596	georgetown	1
4597	georgi	1
4598	georgia	9
4599	georgian	2
4600	gephardt	2
4601	gerald	1
4602	gerd	1
4603	gerhard	5
4604	gerin	1
4605	german	23
4606	germani	63
4607	germanydeport	1
4608	germicid	1
4609	gerri	1
4610	gerstein	1
4611	gestapo	1
4612	gestur	21
4613	getalong	1
4614	getaway	7
4615	getoutthevot	2
4616	ghee	1
4617	ghost	4
4618	giant	11
4619	gift	18
4620	gigant	1
4621	giggl	2
4622	gil	1
4623	gila	1
4624	gilbert	1
4625	gillespi	2
4626	gilman	1
4627	gilmor	2
4628	gimbel	1
4629	gina	1
4630	ginger	2
4631	gingerli	3
4632	girder	1
4633	girl	29
4634	girlfriend	3
4635	giuliani	12
4636	gizbert	3
4637	glad	11
4638	gladi	1
4639	gladkovich	1
4640	gladli	1
4641	glanc	5
4642	glascoff	1
4643	glaspi	3
4644	glass	17
4645	gleefulli	2
4646	glen	4
4647	glenni	2
4648	glimps	6
4649	glisten	1
4650	global	19
4651	globe	6
4652	glori	3
4653	gloria	1
4654	glorifi	1
4655	gloriou	2
4656	glove	4
4657	glow	3
4658	glue	4
4659	glum	1
4660	gmc	1
4661	gnassingb	1
4662	gnd	1
4663	goal	19
4664	goate	1
4665	gobbl	1
4666	god	36
4667	goddess	1
4668	godfear	1
4669	goe	33
4670	goggl	1
4671	goh	1
4672	goingaway	1
4673	gokool	1
4674	gold	15
4675	golden	4
4676	goldman	3
4677	goldsmith	3
4678	goldstein	4
4679	golf	4
4680	golfer	1
4681	goliath	1
4682	gone	74
4683	gonna	5
4684	goodbehavior	1
4685	goodby	9
4686	goodnatur	1
4687	goodwil	4
4688	gop	22
4689	gopcontrol	1
4690	gopheld	1
4691	goptrend	2
4692	goran	6
4693	gorbachov	1
4694	gordana	1
4695	gordi	3
4696	gordon	7
4697	gore	65
4698	gorebush	1
4699	gorelieberman	4
4700	gorgeou	1
4701	gorton	8
4702	gosh	1
4703	gossip	1
4704	gostran	1
4705	gotten	11
4706	gov	61
4707	gove	1
4708	govern	347
4709	government	2
4710	governmentback	1
4711	governmentcontrol	2
4712	governmentown	3
4713	governmentrun	2
4714	governmentsponsor	1
4715	governmentsuppli	1
4716	governor	78
4717	gown	3
4718	grab	15
4719	grabbi	1
4720	grace	6
4721	graceless	1
4722	graciou	3
4723	grade	1
4724	grado	1
4725	gradual	9
4726	graduat	5
4727	graf	2
4728	graff	1
4729	graffiti	2
4730	graham	3
4731	grain	3
4732	graini	1
4733	gram	12
4734	gramm	3
4735	grammar	1
4736	grand	66
4737	grandchildren	2
4738	granddaught	4
4739	grandfath	2
4740	grandios	1
4741	grandma	1
4742	grandmaison	1
4743	grandmom	1
4744	grandmoth	5
4745	grandson	13
4746	granger	5
4747	granit	1
4748	grant	48
4749	grapevin	1
4750	graphic	2
4751	grappl	3
4752	grasp	7
4753	grassley	1
4754	grate	17
4755	gratifi	3
4756	gratitud	4
4757	grave	22
4758	gravesid	2
4759	gravest	1
4760	gravi	1
4761	gravit	1
4762	graviti	1
4763	gray	3
4764	graze	1
4765	greaterwc	1
4766	greatli	2
4767	greec	4
4768	greed	1
4769	greek	3
4770	green	17
4771	greenhous	1
4772	greenleaf	1
4773	greenway	1
4774	greenwood	2
4775	greet	32
4776	greg	20
4777	gregor	4
4778	gregori	1
4779	gregorio	1
4780	grenad	11
4781	grenada	2
4782	greta	3
4783	grew	19
4784	greybeard	1
4785	grid	2
4786	gridlock	2
4787	grief	10
4788	griev	8
4789	grievanc	4
4790	griffith	1
4791	grim	15
4792	grimac	4
