t_index	term	df
390	alzawahri	2
391	alzindani	1
392	amad	3
393	amanda	17
394	amarillo	2
395	amartej	3
396	amaru	4
397	amass	4
398	amateur	2
399	amaz	10
400	amazingli	1
401	ambassador	47
402	ambersag	1
403	ambigu	1
404	ambit	8
405	ambiti	2
406	ambival	2
407	ambul	11
408	ambush	1
409	ameli	6
410	amend	2
411	amerasian	1
412	america	128
413	american	341
414	americanislam	1
415	americanl	1
416	americanstatesman	1
417	americanyemeni	1
418	americorp	1
419	amh	1
420	ami	2
421	amiabl	2
422	amic	1
423	amid	51
424	amidship	2
425	amin	1
426	amit	1
427	amman	2
428	ammo	1
429	ammonium	1
430	ammunit	22
431	amnesia	2
432	amnesti	2
433	amongst	2
434	amount	30
435	amp	5
436	amphibi	3
437	ampl	2
438	ampli	1
439	amplifi	1
440	amput	12
441	ana	7
442	anacostia	1
443	analges	1
444	analog	1
445	analysi	9
446	analyst	38
447	analyz	5
448	anarch	2
449	anathema	1
450	anatoli	8
451	anca	4
452	ancestor	3
453	ancestr	25
454	ancestri	1
455	anchor	8
456	anchorag	2
457	anchorman	3
458	ancient	4
459	andean	6
460	anderson	4
461	andi	5
462	andjelkov	1
463	andoslavia	1
464	andov	1
465	andr	48
466	andrea	14
467	andrei	2
468	andrew	15
469	andrik	1
470	anew	7
471	angel	13
472	anger	46
473	angl	12
474	anglican	1
475	angri	27
476	angrili	4
477	anguish	8
478	ani	312
479	anim	2
480	animist	2
481	animos	11
482	anjana	1
483	anjar	6
484	anjay	1
485	ank	2
486	ankl	8
487	ankledeep	1
488	anna	21
489	annabel	1
490	annacon	1
491	annan	13
492	anniversari	15
493	announc	164
494	annoy	2
495	annual	18
496	annul	11
497	anomali	1
498	anonym	63
499	answer	48
500	antagon	1
501	antasiaovich	1
502	antenna	2
503	anthem	6
504	anthoni	27
505	anthropologist	2
506	antiaircraft	2
507	antiamerican	16
508	antiballist	2
509	antibiot	5
510	antibush	1
511	anticastro	1
512	anticip	17
513	anticlimact	1
514	anticommunist	2
515	anticorrupt	2
516	antidiarrhea	1
517	antifbi	2
518	antiislam	3
519	antiisrael	2
520	antimilitari	1
521	antimilosev	20
522	antimissil	1
523	antinorthern	1
524	antiradar	1
525	antiship	2
526	antisoviet	1
527	antisubmarin	1
528	antiterror	6
529	antiterrorist	8
530	antiu	9
531	antiwar	8
532	antiwestern	5
533	antonia	6
534	antonin	1
535	antonio	26
536	anwar	4
537	anxieti	3
538	anxiou	11
